nombre_actor,anno_nacimiento,peliculas,que_hace,premios
Abbas Ali Ezzati,,"Charshanbehbazar', 'Bagherzadeh Ghomi', ""Stockholm's Sculptures 1: Norrmalm & Kungsholmen"", ""Stockholm's Sculptures 2: Östermalm""","Dirección', 'Guion', 'Edición'",
Erika Corcoran,,"A Sort of Wonderland', 'Him', 'None', 'None'","Reparto', 'Dirección', 'Guion'",
Dedrick Kendis,,"Him', 'None', 'None', 'None'",Reparto',
Allison Boyle,,"The Sword', '6:15', 'The Second', 'Kantemir'","Maquillaje', 'Reparto', 'Efectos especiales'",
Tristan Parks,,"Scenes from Acting for Film & T.V. Fall 215', 'Feral', 'My Dog Against the World', 'None'","Reparto', 'Guion'",
Brad Morgan,,"Case by Case', 'Clearwater Vol. 2', 'Clearwater', 'Wastelanders'",Reparto',
Ben Nebenfuehr,,"Memories', 'Sacrifice', 'None', 'None'","Reparto', 'Guion', 'Sonido'",
Antonio Brkovic,,"The Absurdist', 'On the Plus Side', 'Homicide Hunter: Lt. Joe Kenda', 'Binary Star'","Equipos adicionales', 'Reparto', 'Cámara y electricidad'",
Elizabeth Gibson,,"Twisters', 'A Christmas... Present', 'None', 'None'","Reparto', 'Dirección de producción'",
Melissa Costa,,"The List: Rienda suelta', 'Todos esos pequeños momentos', 'El blues de Beale Street', 'The Fighter'","Dirección', 'Producción', 'Guion'",1
Christian Glas,,"Bananas', 'None', 'None', 'None'",Reparto',1
Kat Kuei Chen,,"Silicon Valley', 'Class of Lies', 'Togetherness', 'None'",Reparto',1
Bryce Harrow,,"El Banditos', 'The Heavy', 'Bagel of Life', 'The Walking Bread'","Reparto', 'Producción', 'Dirección'",1
Rob Harrow,,"El Banditos', 'The Heavy', 'The Walking Bread', 'Afternooner'","Reparto', 'Producción', 'Dirección'",1
Edward Hernandez,,"Ojos de fuego', 'She Came Back', 'In the Dark', 'Slasher'",Cámara y electricidad',1
Husein Madhavji,,"Saving Hope', ""Schitt's Creek"", 'Donkeyhead', 'Arma letal'","Reparto', 'Producción', 'Guion'",
Korey McIsaac,,"Que te den, Kevin', 'Julia', 'La red social', 'The Town: Ciudad de ladrones'","Reparto', 'Guion', 'Dirección'",
Cleopatra Wood,,"""Afua's Diary"", 'Christmas with the Prince', 'The Strangers', 'Just Say Yes'","Reparto', 'Producción'",
Fabio Abraham,,"""Afua's Diary"", 'Luck', 'Operation Cobra', 'Party Animals'",Reparto',
Kwaku Sintim Misa,,"Checkmate', ""Afua's Diary"", 'Ley y orden', 'Adams Apples'",Reparto',
Franciska Steiner,,"""Afua's Diary"", 'Betrayal Drama', 'My Name Is Georgina', 'Walking with Shadows'",Reparto',
Zion Johnson,,"BB Brown & Friends', 'None', 'None', 'None'",Reparto',
Sandy Ani-Adjei,,"Testimony', ""Afua's Diary"", 'Cover Me', 'None'","Reparto', 'Dirección', 'Guion'",
